application_id,name,rank,community,aggregate
361024,,1,BC,200.0
282203,,2,SC,200.0
335378,,3,BC,200.0
389744,,4,MBC,200.0
290528,,5,BC,200.0
202640,,6,OC,200.0
384043,,7,BC,200.0
305043,,8,BC,200.0
285039,,9,MBC,200.0
425943,,10,MBC,200.0
370073,,11,MBC,200.0
432244,,12,BC,200.0
304503,,13,MBC,200.0
217561,,14,OC,200.0
354505,,15,OC,200.0
408452,,16,BC,200.0
253940,,17,MBC,200.0
500726,,18,SC,200.0
472946,,19,BC,200.0
304581,,20,MBC,200.0
377094,,21,OC,200.0
365793,,22,MBC,200.0
490218,,23,SC,200.0
209075,,24,BC,200.0
451654,,25,BC,200.0
381320,,26,MBC,200.0
397377,,27,MBC,200.0
475734,,28,BC,200.0
290886,,29,BC,200.0
397746,,30,OC,200.0
471129,,31,BC,200.0
204465,,32,BC,200.0
380296,,33,BC,200.0
227180,,34,BC,200.0
289313,,35,BC,200.0
442116,,36,BC,200.0
417574,,37,BC,200.0
329557,,38,BC,200.0
481505,,39,OC,200.0
300538,,40,MBC,200.0
225025,,41,BC,200.0
416011,,42,BC,200.0
426584,,43,OC,200.0
267441,,44,BC,200.0
421495,,45,BC,200.0
214040,,46,BC,200.0
473607,,47,BC,200.0
269637,,48,BCM,200.0
209701,,49,BC,200.0
307888,,50,BC,200.0
426087,,51,BC,200.0
396299,,52,BC,200.0
437184,,53,OC,199.667
333733,,54,MBC,199.667
245439,,55,BC,199.667
431001,,56,MBC,199.5
309050,,57,BC,199.5
241550,,58,BC,199.5
351232,,59,MBC,199.5
307740,,60,BC,199.5
480359,,61,BC,199.5
259827,,62,OC,199.5
444968,,63,BCM,199.5
341085,,64,MBC,199.5
496454,,65,BC,199.5
247766,,66,BC,199.5
307811,,67,BC,199.5
221661,,68,BC,199.5
426885,,69,MBC,199.5
351119,,70,BC,199.5
283725,,71,BC,199.5
470369,,72,BC,199.5
206575,,73,BC,199.5
202746,,74,OC,199.5
335267,,75,BC,199.5
375258,,76,MBC,199.5
408512,,77,BC,199.5
406580,,78,SC,199.5
462274,,79,BC,199.5
364610,,80,SC,199.5
296086,,81,BC,199.5
456613,,82,BC,199.5
483476,,83,MBC,199.5
407869,,84,BC,199.5
259662,,85,BC,199.5
502280,,86,BC,199.5
327752,,87,BC,199.5
343409,,88,MBC,199.5
365162,,89,BC,199.5
396666,,90,MBC,199.5
391809,,91,BC,199.5
434275,,92,MBC,199.5
343847,,93,MBC,199.5
310376,,94,BC,199.5
220877,,95,MBC,199.5
369122,,96,BC,199.5
412814,,97,BC,199.5
410625,,98,MBC,199.5
361205,,99,BC,199.5
305848,,100,BC,199.5
470865,,101,MBC,199.5
456892,,102,BC,199.5
350706,,103,BC,199.5
497910,,104,BC,199.5
371814,,105,BC,199.5
449802,,106,MBC,199.5
292498,,107,BC,199.5
217403,,108,BC,199.5
447531,,109,BC,199.5
398182,,110,BC,199.5
319936,,111,BC,199.5
452290,,112,BC,199.333
436571,,113,BC,199.333
431527,,114,OC,199.333
260171,,115,OC,199.333
474333,,116,BC,199.333
330612,,117,BC,199.333
271171,,118,BC,199.333
359019,,119,BC,199.0
306898,,120,BC,199.0
228445,,121,BC,199.0
427699,,122,BC,199.0
408563,,123,MBC,199.0
326871,,124,MBC,199.0
493612,,125,BC,199.0
318414,,126,BC,199.0
389555,,127,BC,199.0
434076,,128,OC,199.0
457020,,129,BC,199.0
418223,,130,BC,199.0
443413,,131,BC,199.0
219081,,132,BC,199.0
478883,,133,BC,199.0
208152,,134,BC,199.0
430516,,135,BC,199.0
400466,,136,SC,199.0
251846,,137,BC,199.0
385421,,138,MBC,199.0
309111,,139,BC,199.0
472911,,140,BC,199.0
307621,,141,BC,199.0
320784,,142,MBC,199.0
340824,,143,BC,199.0
296545,,144,BC,199.0
220755,,145,MBC,199.0
342480,,146,BCM,199.0
379813,,147,OC,199.0
266860,,148,BC,199.0
427723,,149,SC,199.0
268924,,150,BC,199.0
235274,,151,BC,199.0
265763,,152,OC,199.0
486179,,153,BC,199.0
403085,,154,BC,199.0
303251,,155,BC,199.0
207122,,156,BC,199.0
460300,,157,BC,199.0
414466,,158,MBC,199.0
452524,,159,BC,199.0
434796,,160,BC,199.0
205381,,161,OC,199.0
264031,,162,BC,199.0
388310,,163,OC,199.0
378831,,164,BC,199.0
364924,,165,SC,199.0
407207,,166,BC,199.0
410327,,167,BC,199.0
417940,,168,BC,199.0
231676,,169,BC,199.0
384780,,170,OC,199.0
285041,,171,BC,199.0
320742,,172,MBC,199.0
470084,,173,BC,199.0
353430,,174,BC,199.0
228288,,175,BC,199.0
493728,,176,BC,199.0
326456,,177,BC,199.0
456183,,178,BC,199.0
365954,,179,BC,199.0
444983,,180,OC,199.0
212853,,181,BC,199.0
393420,,182,BC,199.0
497411,,183,MBC,199.0
323755,,184,BC,199.0
309942,,185,BC,199.0
398020,,186,OC,199.0
445083,,187,BC,199.0
258850,,188,MBC,199.0
416094,,189,BC,199.0
388841,,190,BC,199.0
489509,,191,BC,199.0
388672,,192,OC,199.0
230384,,193,BC,199.0
233694,,194,BC,199.0
224663,,195,BC,199.0
205631,,196,BC,199.0
385413,,197,BC,199.0
291194,,198,BC,199.0
201650,,199,BC,199.0
416014,,200,MBC,199.0
495011,,201,MBC,199.0
306528,,202,BC,199.0
263404,,203,BCM,199.0
273525,,204,BC,199.0
