college_code,branch_code,community,predicted_closing_rank_2026
1,BY,BC,13813
1,BY,MBC,7683
1,BY,OC,4207
1,BY,SC,15297
1,BY,SCA,40198
1,BY,ST,25049
1,CE,BC,7589
1,CE,MBC,5798
1,CE,OC,3819
1,CE,SC,8261
1,CE,SCA,28573
1,CE,ST,30722
1,CM,BC,404
1,CM,MBC,500
1,CM,OC,203
1,CM,SC,2792
1,CM,SCA,10908
1,CM,ST,3121
1,CS,BC,218
1,CS,MBC,88
1,CS,OC,28
1,CS,SC,840
1,CS,SCA,725
1,CS,ST,2449
1,EC,BC,846
1,EC,MBC,590
1,EC,OC,206
1,EC,SC,1983
1,EC,SCA,9197
1,EC,ST,18015
1,EE,BC,3404
1,EE,MBC,1822
1,EE,OC,1281
1,EE,SC,7428
1,EE,SCA,15925
1,EE,ST,2341
1,EL,BC,2859
1,EL,MBC,2477
1,EL,OC,1649
1,EL,SC,8750
1,EL,SCA,21598
1,EL,ST,4412
1,EM,BC,839
1,EM,MBC,749
1,EM,OC,584
1,EM,SC,4447
1,EM,SCA,17320
1,EM,ST,26453
1,GI,BC,15085
1,GI,MBC,16855
1,GI,OC,6600
1,GI,SC,35941
1,GI,SCA,32268
1,GI,ST,16277
1,IE,BC,32269
1,IE,MBC,20109
1,IE,OC,9341
1,IE,SC,29744
1,IE,SCA,56182
1,IE,ST,47452
1,IM,BC,1191
1,IM,MBC,937
1,IM,OC,585
1,IM,SC,4910
1,IM,SCA,22681
1,IM,ST,9141
1,MA,BC,14112
1,MA,MBC,19394
1,MA,OC,9298
1,MA,SC,35055
1,MA,SCA,57336
1,ME,BC,5714
1,ME,MBC,5253
1,ME,OC,2971
1,ME,SC,15495
1,ME,SCA,30207
1,ME,ST,3894
1,MI,BC,23036
1,MI,MBC,10458
1,MI,OC,7194
1,MI,SC,31031
1,MI,SCA,56822
1,MI,ST,95204
1,MN,BC,26861
1,MN,MBC,26026
1,MN,OC,14527
1,MN,SC,32797
1,MN,SCA,45010
1,MN,ST,22651
1,PT,BC,33851
1,PT,MBC,37847
1,PT,OC,20696
1,PT,SC,59003
1,PT,SCA,100499
1,PT,ST,48705
1,XC,BC,24542
1,XC,MBC,19422
1,XC,OC,9201
1,XC,SC,23088
1,XC,SCA,19228
1,XM,BC,25900
1,XM,MBC,27546
1,XM,OC,15862
1,XM,SC,50567
1,XM,SCA,51477
1,XM,ST,47239
2,AP,BC,60689
2,AP,MBC,74121
2,AP,OC,46073
2,AP,SC,87608
2,AP,SCA,141831
2,AP,ST,59261
2,CH,BC,10137
2,CH,MBC,9003
2,CH,OC,4799
2,CH,SC,16031
2,CH,SCA,44000
2,CH,ST,65142
2,CL,BC,22672
2,CL,MBC,17611
2,CL,OC,9849
2,CL,SC,28153
2,CL,SCA,84338
2,CL,ST,64739
2,CR,BC,57305
2,CR,MBC,55836
2,CR,OC,39566
2,CR,SC,87426
2,CR,SCA,194355
2,CR,ST,125293
2,FS,BC,21944
2,FS,MBC,27646
2,FS,OC,12673
2,FS,SC,33833
2,FS,SCA,73483
2,FS,ST,42587
2,IB,BC,31993
2,IB,MBC,27123
2,IB,OC,6469
2,IB,SC,31465
2,IB,SCA,51002
2,IS,BC,29129
2,IS,MBC,29605
2,IS,OC,17457
2,IS,SC,39874
2,IS,SCA,82095
2,IS,ST,81657
2,LE,BC,64642
2,LE,MBC,57135
2,LE,OC,41118
2,LE,SC,75817
2,LE,SCA,151877
2,LE,ST,81967
2,PM,BC,35053
2,PM,MBC,39656
2,PM,OC,25380
2,PM,SC,55107
2,PM,SCA,97025
2,PM,ST,68126
2,PP,BC,26236
2,PP,MBC,24583
2,PP,OC,17202
2,PP,SC,35169
2,PP,SCA,67484
2,PP,ST,55450
2,TX,BC,60548
2,TX,MBC,68717
2,TX,OC,35951
2,TX,SC,65115
2,TX,SCA,113674
3,BP,BC,37948
3,BP,MBC,37943
3,BP,OC,20319
3,BP,SC,42346
3,BP,SCA,132783
3,BP,ST,108148
4,AE,BC,6839
4,AE,MBC,5643
4,AE,OC,2639
4,AE,SC,13648
4,AE,SCA,37849
4,AE,ST,6353
4,AT,BC,1747
4,AT,MBC,1701
4,AT,OC,854
4,AT,SC,5737
4,AT,SCA,28108
4,AT,ST,8280
4,AU,BC,13910
4,AU,MBC,11786
4,AU,OC,7443
4,AU,SC,25060
4,AU,SCA,45545
4,AU,ST,42641
4,CM,BC,1120
4,CM,MBC,1084
4,CM,OC,809
4,CM,SC,3702
4,CM,SCA,20526
4,CM,ST,8322
4,CS,BC,819
4,CS,MBC,650
4,CS,OC,365
4,CS,SC,2478
4,CS,SCA,18781
4,CS,ST,5627
4,EC,BC,1338
4,EC,MBC,1421
4,EC,OC,880
4,EC,SC,5269
4,EC,SCA,7316
4,EC,ST,4114
4,EI,BC,4565
4,EI,MBC,4671
4,EI,OC,2529
4,EI,SC,11286
4,EI,SCA,30459
4,EI,ST,66236
4,EM,BC,2787
4,EM,MBC,1764
4,EM,OC,1419
4,EM,SC,6635
4,EM,SCA,25934
4,EM,ST,7526
4,IM,BC,2458
4,IM,MBC,1816
4,IM,OC,1254
4,IM,SC,7005
4,IM,SCA,26730
4,IM,ST,13438
4,PR,BC,18782
4,PR,MBC,22570
4,PR,OC,12376
4,PR,SC,30497
4,PR,SCA,52456
4,PR,ST,55292
4,RA,BC,4387
4,RA,MBC,3997
4,RA,OC,2864
4,RA,SC,13750
4,RA,SCA,18768
4,RA,ST,95903
4,RP,BC,39488
4,RP,MBC,45054
4,RP,OC,28991
4,RP,SC,48579
4,RP,SCA,128885
5,AM,BC,88122
5,AM,MBC,79844
5,AM,OC,45812
5,AM,SC,103352
5,AM,SCA,117989
5,AM,ST,101325
5,CE,BC,245227
5,CE,MBC,153665
5,CE,OC,103171
5,CE,SC,163728
5,CE,SCA,176379
5,CE,ST,166905
5,CF,BC,93675
5,CF,MBC,87602
5,CF,OC,58158
5,CF,SC,97072
5,CF,SCA,149502
5,CF,ST,172019
5,CH,BC,197561
5,CH,MBC,155266
5,CH,OC,95099
5,CH,SC,163306
5,CH,SCA,92253
5,CH,ST,130144
5,CS,BC,92712
5,CS,MBC,79139
5,CS,OC,39996
5,CS,SC,103171
5,CS,SCA,153973
5,CS,ST,39632
5,CZ,BC,259421
5,CZ,MBC,179004
5,CZ,OC,129445
5,CZ,SC,169777
5,CZ,SCA,178548
5,EC,BC,88047
5,EC,MBC,86659
5,EC,OC,49546
5,EC,SC,107603
5,EC,SCA,61096
5,EC,ST,129911
5,EE,BC,139764
5,EE,MBC,118905
5,EE,OC,99070
5,EE,SC,171408
5,EE,SCA,175879
5,EE,ST,227677
5,EI,BC,195767
5,EI,MBC,137356
5,EI,OC,120627
5,EI,SC,165222
5,EI,SCA,226673
5,IT,BC,106853
5,IT,MBC,95407
5,IT,OC,63086
5,IT,SC,108843
5,IT,SCA,175766
5,IT,ST,118561
5,ME,BC,214121
5,ME,MBC,146717
5,ME,OC,105470
5,ME,SC,174871
5,ME,SCA,211797
5,ME,ST,218499
5,MM,BC,249804
5,MM,MBC,163872
5,MM,OC,133930
5,MM,SC,167526
1013,CS,BC,67717
1013,CS,MBC,58214
1013,CS,OC,29721
1013,CS,SC,105458
1013,CS,SCA,199158
1013,CS,ST,178250
1013,EC,BC,87341
1013,EC,MBC,85788
1013,EC,OC,62741
1013,EC,SC,120758
1013,EC,SCA,259041
1013,EC,ST,184623
1013,IT,BC,78565
1013,IT,MBC,76168
1013,IT,OC,38535
1013,IT,SC,99187
1013,IT,SCA,135839
1013,IT,ST,81967
1013,ME,BC,160348
1013,ME,MBC,140147
1013,ME,OC,119650
1013,ME,SC,177682
1013,ME,SCA,228257
1013,SC,BC,70919
1013,SC,MBC,71072
1013,SC,OC,45642
1013,SC,SC,93676
1013,SC,SCA,125105
1013,XM,BC,194410
1013,XM,MBC,157884
1013,XM,OC,123890
1013,XM,SC,195022
1013,XM,ST,226518
1014,CE,BC,224598
1014,CE,MBC,153192
1014,CE,OC,110813
1014,CE,SC,193780
1014,CE,SCA,190393
1014,CS,BC,71485
1014,CS,MBC,62358
1014,CS,OC,37048
1014,CS,SC,96477
1014,CS,SCA,25026
1014,CS,ST,49946
1014,EC,BC,96822
1014,EC,MBC,86221
1014,EC,OC,71779
1014,EC,SC,131723
1014,EC,SCA,116884
1014,EC,ST,136268
1014,EF,BC,160939
1014,EF,MBC,99017
1014,EF,OC,92550
1014,EF,SC,135137
1014,EF,SCA,162396
1014,IT,BC,104723
1014,IT,MBC,86511
1014,IT,OC,54842
1014,IT,SC,114048
1014,IT,SCA,213937
1014,IT,ST,160416
1014,XC,BC,239600
1014,XC,MBC,167389
1014,XC,OC,118249
1014,XC,SC,179950
1014,XC,SCA,271284
1015,CS,BC,121173
1015,CS,MBC,85694
1015,CS,OC,52786
1015,CS,SC,107572
1015,CS,SCA,222828
1015,EC,BC,118024
1015,EC,MBC,103052
1015,EC,OC,65373
1015,EC,SC,161416
1015,EC,SCA,177451
1015,EC,ST,148327
1015,EE,BC,160241
1015,EE,MBC,123147
1015,EE,OC,101705
1015,EE,SC,193518
1015,EE,SCA,191723
1015,EE,ST,182826
1015,ME,BC,210298
1015,ME,MBC,137492
1015,ME,OC,123523
1015,ME,SC,188317
1015,XM,BC,212934
1015,XM,MBC,211579
1015,XM,OC,181150
1015,XM,SC,222328
1015,XM,SCA,215642
1026,CS,BC,51377
1026,CS,MBC,45613
1026,CS,OC,34678
1026,CS,SC,71129
1026,CS,SCA,104636
1026,CS,ST,126749
1026,EC,BC,62010
1026,EC,MBC,61165
1026,EC,OC,41977
1026,EC,SC,112653
1026,EC,SCA,136001
1026,EC,ST,138775
1026,EE,BC,113147
1026,EE,MBC,95383
1026,EE,OC,74924
1026,EE,SC,127691
1026,EE,SCA,230446
1026,ME,BC,123654
1026,ME,MBC,121919
1026,ME,OC,94590
1026,ME,SC,167725
1026,ME,SCA,191472
1026,ME,ST,139639
1026,SC,BC,63386
1026,SC,MBC,55667
1026,SC,OC,41914
1026,SC,SC,69631
1026,SC,SCA,81806
1101,AD,BC,200924
1101,AD,MBC,201508
1101,AD,OC,95573
1101,AD,SC,184770
1101,AM,BC,207806
1101,AM,MBC,231714
1101,AM,OC,107661
1101,AM,SC,168432
1101,CB,BC,199840
1101,CB,MBC,255986
1101,CB,OC,73466
1101,CB,SC,198436
1101,CE,OC,146873
1101,CS,BC,172398
1101,CS,MBC,230189
1101,CS,OC,104045
1101,CS,SC,214396
1101,CS,SCA,248767
1101,CS,ST,231218
1101,EC,BC,228403
1101,EC,MBC,201648
1101,EC,OC,124070
1101,EC,SC,245316
1101,EC,SCA,228033
1101,EE,BC,186564
1101,EE,MBC,161524
1101,EE,OC,161164
1101,EE,SC,224332
1101,IT,BC,197535
1101,IT,MBC,238219
1101,IT,OC,112583
1101,IT,SC,209766
1101,ME,BC,204550
1101,ME,MBC,188859
1101,ME,OC,186843
1101,ME,SC,228704
1101,SC,BC,215732
1101,SC,MBC,224514
1101,SC,OC,120076
1101,SC,SC,223544
1102,AD,OC,228897
1102,CS,OC,251354
1102,EC,OC,256458
1102,IT,OC,164501
1102,ME,OC,234105
1106,AE,BC,244542
1106,AE,MBC,197404
1106,AE,OC,198564
1106,AE,SC,249957
1106,AM,BC,218783
1106,AM,MBC,214957
1106,AM,OC,173197
1106,AM,SC,176455
1106,CB,BC,239581
1106,CB,MBC,190969
1106,CB,OC,202353
1106,CB,SC,230294
1106,CE,OC,237597
1106,CO,BC,224674
1106,CO,MBC,226960
1106,CO,OC,192020
1106,CO,SC,219709
1106,CS,BC,218316
1106,CS,MBC,245410
1106,CS,OC,155560
1106,CS,SC,231466
1106,CS,SCA,189860
1106,EC,BC,242361
1106,EC,MBC,196442
1106,EC,OC,136308
1106,EC,SC,228171
1106,EE,BC,238701
1106,EE,OC,244967
1106,EI,BC,241451
1106,EI,MBC,237328
1106,EI,OC,208530
1106,EI,SC,236836
1106,EI,SCA,232995
1106,IT,BC,237874
1106,IT,MBC,245068
1106,IT,OC,191679
1106,IT,SC,242558
1106,IT,SCA,183203
1106,ME,BC,199293
1106,ME,MBC,220931
1106,ME,OC,193289
1106,RM,OC,211453
1106,TX,OC,242309
1107,CS,BC,234649
1107,CS,MBC,225265
1107,CS,OC,184233
1107,CS,SC,196780
1107,EC,OC,236687
1107,EE,OC,237863
1107,FD,OC,197525
1107,ME,OC,235119
1110,AD,BC,197825
1110,AD,MBC,142498
1110,AD,OC,90789
1110,AD,SC,188502
1110,AD,SCA,220597
1110,AM,BC,171849
1110,AM,MBC,169672
1110,AM,OC,86256
1110,AM,SC,206785
1110,BT,BC,225287
1110,BT,MBC,237331
1110,BT,OC,130140
1110,BT,SC,218331
1110,BT,SCA,125765
1110,CB,BC,128035
1110,CB,MBC,173269
1110,CB,OC,87739
1110,CB,SC,211834
1110,CS,BC,137586
1110,CS,MBC,145842
1110,CS,OC,76211
1110,CS,SC,211987
1110,EC,BC,190276
1110,EC,MBC,137366
1110,EC,OC,91511
1110,EC,SC,186561
1110,EC,SCA,196874
1110,EE,BC,153119
1110,EE,MBC,166227
1110,EE,OC,148371
1110,EE,SC,214034
1110,EE,SCA,230817
1110,IT,BC,159117
1110,IT,MBC,144592
1110,IT,OC,93872
1110,IT,SC,173517
1110,IT,SCA,211429
1110,ME,BC,202577
1110,ME,MBC,214628
1110,ME,OC,153667
1110,ME,SC,228150
1110,MZ,OC,131276
1110,SC,BC,157312
1110,SC,MBC,144551
1110,SC,OC,83022
1110,SC,SC,161503
1112,AL,BC,44553
1112,AL,MBC,53356
1112,AL,OC,38610
1112,AL,SC,139857
1112,AL,ST,125766
1112,CB,BC,62373
1112,CB,MBC,58450
1112,CB,OC,40381
1112,CB,SC,140214
1112,CB,ST,169256
1112,CS,BC,59321
1112,CS,MBC,49955
1112,CS,OC,31207
1112,CS,SC,118003
1112,CS,SCA,197392
1112,CS,ST,91812
1112,EC,BC,61503
1112,EC,MBC,54443
1112,EC,OC,37328
1112,EC,SC,110908
1112,EC,SCA,167733
1112,IT,BC,56985
1112,IT,MBC,55048
1112,IT,OC,38509
1112,IT,SC,130287
1112,IT,SCA,170316
1113,AD,BC,36506
1113,AD,MBC,43956
1113,AD,OC,22433
1113,AD,SC,109908
1113,AD,SCA,129343
1113,CB,BC,60069
1113,CB,MBC,48014
1113,CB,OC,31787
1113,CB,SC,128665
1113,CB,SCA,160190
1113,CD,BC,65827
1113,CD,MBC,55213
1113,CD,OC,34253
1113,CD,SC,111041
1113,CD,SCA,134148
1113,CE,BC,145497
1113,CE,MBC,112447
1113,CE,OC,58585
1113,CE,SC,131845
1113,CE,SCA,216015
1113,CS,BC,27585
1113,CS,MBC,30644
1113,CS,OC,14296
1113,CS,SC,56433
1113,CS,SCA,222314
1113,CS,ST,51576
1113,EA,BC,39229
1113,EA,MBC,50485
1113,EA,OC,32857
1113,EA,SC,141172
1113,EA,SCA,186479
1113,EA,ST,201994
1113,EC,BC,47956
1113,EC,MBC,41316
1113,EC,OC,23251
1113,EC,SC,79129
1113,EC,SCA,161633
1113,EC,ST,131105
1113,EE,BC,84655
1113,EE,MBC,56481
1113,EE,OC,39658
1113,EE,SC,115612
1113,EV,BC,44484
1113,EV,MBC,55744
1113,EV,OC,36783
1113,EV,SC,141352
1113,EV,ST,219786
1113,IT,BC,59055
1113,IT,MBC,40159
1113,IT,OC,24080
1113,IT,SC,98788
1113,IT,SCA,128624
1113,IT,ST,187730
1113,ME,BC,95553
1113,ME,MBC,70540
1113,ME,OC,48361
1113,ME,SC,119774
1114,AD,BC,105749
1114,AD,MBC,110115
1114,AD,OC,68554
1114,AD,SC,148670
1114,AD,SCA,132048
1114,AM,BC,104806
1114,AM,MBC,121286
1114,AM,OC,73920
1114,AM,SC,146114
1114,AM,SCA,188950
1114,CB,BC,109942
1114,CB,MBC,121831
1114,CB,OC,82661
1114,CB,SC,174014
1114,CE,BC,256415
1114,CE,MBC,224647
1114,CE,OC,132931
1114,CE,SC,182073
1114,CS,BC,97024
1114,CS,MBC,107729
1114,CS,OC,69317
1114,CS,SC,155913
1114,CS,SCA,245212
1114,EC,BC,117542
1114,EC,MBC,119855
1114,EC,OC,80955
1114,EC,SC,172971
1114,EC,SCA,213199
1114,EE,BC,153895
1114,EE,MBC,167616
1114,EE,OC,120270
1114,EE,SC,195278
1114,EV,BC,119986
1114,EV,MBC,137536
1114,EV,OC,110659
1114,EV,SC,192868
1114,IT,BC,120178
1114,IT,MBC,123613
1114,IT,OC,89646
1114,IT,SC,159420
1114,IT,ST,144899
1114,ME,BC,179104
1114,ME,MBC,169279
1114,ME,OC,146666
1114,ME,SC,204977
1114,SC,BC,101336
1114,SC,MBC,113447
1114,SC,OC,81300
1114,SC,SC,162577
1114,SC,SCA,196767
1115,AD,BC,186450
1115,AD,MBC,212361
1115,AD,OC,136058
1115,AD,SC,242917
1115,AM,BC,197636
1115,AM,MBC,232582
1115,AM,OC,113534
1115,AM,SC,176213
1115,CB,BC,226045
1115,CB,MBC,233889
1115,CB,OC,196032
1115,CS,BC,171600
1115,CS,MBC,172059
1115,CS,OC,117245
1115,CS,SC,224010
1115,EC,BC,154955
1115,EC,MBC,194931
1115,EC,OC,103786
1115,EC,SC,218954
1115,EE,OC,242908
1115,ME,OC,214036
1115,SC,BC,224889
1115,SC,MBC,221077
1115,SC,OC,152523
1115,SC,SC,199314
1116,AD,BC,99899
1116,AD,MBC,122001
1116,AD,OC,96910
1116,AD,SC,219503
1116,AM,BC,123887
1116,AM,MBC,124176
1116,AM,OC,98466
1116,AM,SC,226079
1116,CE,OC,168626
1116,CS,BC,119066
1116,CS,MBC,81409
1116,CS,OC,72122
1116,CS,SC,191238
1116,CS,SCA,153451
1116,EC,BC,235055
1116,EC,MBC,141167
1116,EC,OC,95158
1116,EC,SC,211371
1116,EE,BC,222618
1116,EE,MBC,223635
1116,EE,OC,190389
1116,IT,BC,119113
1116,IT,MBC,110383
1116,IT,OC,106952
1116,IT,SC,245121
1116,ME,OC,245045
1116,SC,BC,170137
1116,SC,MBC,116221
1116,SC,OC,98531
1116,SC,SC,230742
1116,SC,ST,238218
1118,AD,BC,70997
1118,AD,MBC,81518
1118,AD,OC,54636
1118,AD,SC,143772
1118,AD,SCA,142423
1118,BM,BC,139096
1118,BM,MBC,163586
1118,BM,OC,98636
1118,BM,SC,187698
1118,BM,ST,169983
1118,CB,BC,86642
1118,CB,MBC,98728
1118,CB,OC,77915
1118,CB,SC,167599
1118,CS,BC,65129
1118,CS,MBC,74765
1118,CS,OC,50595
1118,CS,SC,134122
1118,CS,SCA,187258
1118,CS,ST,148545
1118,EC,BC,74597
1118,EC,MBC,88580
1118,EC,OC,57927
1118,EC,SC,137680
1118,EC,SCA,230341
1118,EE,BC,118086
1118,EE,MBC,99979
1118,EE,OC,77184
1118,EE,SC,178636
1118,EE,SCA,184704
1118,EE,ST,136991
1118,IT,BC,82545
1118,IT,MBC,86128
1118,IT,OC,68921
1118,IT,SC,152501
1118,IT,SCA,137981
1118,ME,BC,136450
1118,ME,MBC,132578
1118,ME,OC,98681
1118,ME,SC,184870
1118,ME,SCA,193360
1118,SC,BC,75527
