college_code,college_name,branch_code,branch_name,OC,BC,BCM,MBC,SC,SCA,ST,TOTAL
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,BY,BIO MEDICAL ENGINEERING (SS),20,16,3,13,11,1,0,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CE,CIVIL ENGINEERING,19,17,3,13,10,1,0,63
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),40,34,4,25,19,3,2,127
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,20,17,2,12,10,2,0,63
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,19,16,3,12,10,2,1,63
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,19,17,3,13,10,2,0,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EL,ELECTRONICS ENGINEERING (VLSI DESIGN AND TECHNOLOGY) (SS),20,16,3,13,10,2,0,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),19,18,2,13,9,2,1,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,GI,GEO INFORMATICS,20,17,2,13,10,2,0,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,IE,INDUSTRIAL ENGINEERING,21,17,1,13,10,2,0,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),40,33,5,25,18,4,2,127
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),10,8,1,5,5,1,1,31
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,ME,MECHANICAL ENGINEERING,40,33,4,25,18,5,1,126
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MI,MINING ENGINEERING,9,9,1,6,4,1,1,31
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,MN,MANUFACTURING ENGINEERING,20,17,2,13,10,2,0,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,PT,PRINTING & PACKING TECHNOLOGY,20,17,2,13,9,2,1,64
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,XC,CIVIL ENGINEERING (TAMIL MEDIUM),9,9,1,6,4,1,1,31
1,University Departments of Anna University Chennai - CEG Campus Sardar Patel Road Guindy Chennai 600 025,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),9,8,1,7,4,1,1,31
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,AP,APPAREL TECHNOLOGY (SS),9,8,1,7,4,1,1,31
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CH,CHEMICAL ENGINEERING,21,17,1,13,11,1,0,64
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CL,CHEMICAL ENGINEERING (SS),20,17,2,13,9,2,0,63
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,CR,CERAMIC TECHNOLOGY (SS),17,15,2,11,8,2,0,55
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,FS,FOOD TECHNOLOGY (SS),14,10,2,8,5,1,1,41
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,IB,INDUSTRIAL BIO TECHNOLOGY,11,9,2,7,5,1,1,36
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,IS,INDUSTRIAL BIO TECHNOLOGY (SS),9,7,0,6,3,1,1,27
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,LE,LEATHER TECHNOLOGY,17,14,2,11,9,2,0,55
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,PM,PHARMACEUTICAL TECHNOLOGY (SS),16,15,2,11,8,2,0,54
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),16,15,2,11,9,1,0,54
2,University Departments of Anna University Chennai - ACT Campus Sardar Patel Road Guindy Chennai 600 025,TX,TEXTILE TECHNOLOGY,16,15,2,10,9,2,1,55
3,School of Architecture and Planning Anna University Chennai 600025,BP,B.PLAN,11,10,1,7,5,1,1,36
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AE,AERONAUTICAL ENGINEERING,20,17,3,12,10,2,0,64
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),20,16,2,13,9,2,1,63
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AU,AUTOMOBILE ENGINEERING,20,16,3,12,9,2,1,63
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CM,COMPUTER SCIENCE AND ENGINEERING (SS),20,17,2,13,10,2,0,64
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CS,COMPUTER SCIENCE AND ENGINEERING,19,18,2,12,10,2,0,63
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,20,17,2,13,9,2,1,64
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,21,17,1,12,9,3,1,64
