college_code,college_name_full,college_name_short,college_type,district
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",Anna University - CEG Campus,University Departments,Chennai
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",Anna University - ACT Campus,University Departments,Chennai
3,"University Departments of Anna University, Chennai - SAP Campus, Sardar Patel Road, Guindy, Chennai 600 025",Anna University - SAP Campus,University Departments,Chennai
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",Anna University - MIT Campus (Chrompet),University Departments,Chennai
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Annamalai University Faculty of Engineering and Technology,University Departments,Cuddalore
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103",University College of Engineering,Constituent Colleges,Villupuram
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001",University College of Engineering,Constituent Colleges,Villupuram
1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326",University College of Engineering,Constituent Colleges,
1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552",University College of Engineering,Constituent Colleges,Kancheepuram
1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055",Aalim Muhammed Salegh College of Engineering,Self Financing Engineering Colleges,Chennai
1106,"Jaya Engineering College, Thirunindravur, Chennai 602024",Jaya Engineering College,Self Financing Engineering Colleges,Chennai
1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH Road, Thiruvallur District 631204",Jaya Institute of Technology,Self Financing Engineering Colleges,
1110,"Prathyusha Engineering college, Aranvoyalkuppam, Thiruvallur District 602025",Prathyusha Engineering college,Self Financing Engineering Colleges,
1112,"R M D Engineering College, Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",R M D Engineering College,Self Financing Engineering Colleges,
1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",R M K Engineering College (Autonomous),Self Financing Engineering Colleges,
1114,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077",S A Engineering College (Autonomous),Self Financing Engineering Colleges,Chennai
1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024",Sri Ram Engineering College,Self Financing Engineering Colleges,
1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203",Sri Venkateswara College of Engineering and Technology,Self Financing Engineering Colleges,
1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062",Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous),Self Financing Engineering Colleges,Chennai
1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066",Velammal Engineering College (Autonomous),Self Financing Engineering Colleges,Chennai
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi-Alamathi Road, Chennai 600 062",Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College,Self Financing Engineering Colleges,Chennai
1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062",Gojan School of Business and Technology,Self Financing Engineering Colleges,Chennai
1124,"SAMS College of Engineering and Technology, Panappakkam, Chennai-Tirupathi Road, Uthukkottai Taluk, Thiruvallur District 601102",SAMS College of Engineering and Technology,Self Financing Engineering Colleges,Chennai
1125,"P M R Engineering College, Adayalampattu, Maduravoyal , Vanagaram, Chennai 600095",P M R Engineering College,Self Financing Engineering Colleges,Chennai
1126,"J N N Institute of Engineering, Ushaa Garden, Kannigaipair Village, Uthukottai Taluk, Thiruvallur District 601102",J N N Institute of Engineering,Self Financing Engineering Colleges,
1127,"St. Peters College of Engineering and Technology, College Road, Avadi, Chennai 600 054",St. Peters College of Engineering and Technology,Self Financing Engineering Colleges,Chennai
1128,"R M K College of Engineering and Technology, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District 601206",R M K College of Engineering and Technology,Self Financing Engineering Colleges,
1129,"Jaya School of Architecture, Poonamallee Bypass, Poonamallee, Thiruvallur District 600056",Jaya School of Architecture,Self Financing Engineering Colleges,
