branch_code,branch_name
AD,Artificial Intelligence and Data Science
AE,Aeronautical Engineering
AG,Agriculture Engineering
AI,Agricultural and Irrigation Engineering (SS)
AM,Computer Science and Engineering (AI and Machine Learning)
AO,Aerospace Engineering
AP,Apparel Technology (SS)
AR,Architecture
AS,Automobile Engineering (SS)
AU,Automobile Engineering
BD,Computer Science and Engineering (Big Data Analytics)
BM,Bio- Medical Engineering
BR,Architecture (SS)
BS,Bio Technology (SS)
BT,Bio Technology
BV,Biotechnology and Bioinformatics (SS)
BX,Bio- Medical Engineering (SS)
BY,Bio-Medical Engineering (SS)
CA,Civil and Structural Engineering
CB,Computer Science and Business System
CC,Chemical and Electro Chemical Engineering (SS)
CE,Civil Engineering
CH,Chemical Engineering
CL,Chemical Engineering (SS)
CM,Computer Science and Engineering (SS)
CN,Civil Engineering (SS)
CO,Computer and Communication Engineering
CP,Civil Engg. and Planning
CR,Ceramic Technology (SS)
CS,Computer Science and Engineering
CT,Computer Technology
CW,Computer Science and Business System(SS)
CY,Cyber Security
EC,Electronics and Communication Engineering
EE,Electrical and Electronics Engineering
EI,Electronics and Instrumentation Engineering
EM,Electronics and Communication Engg. (SS)
EN,Environmental Engg.
ES,Electrical and Electronics (Sandwich) (SS)
ET,Electronics and Telecommunication Engg.
EX,Electronics and Instrumentation Engg. (SS)
EY,Elec. And Electronics Engg (SS)
FD,Food Technology
FN,Food Technology (SS)
FS,Food Technology (SS)
FT,Footwear Technology
FY,Fashion Technology (SS)
GI,Geo-Informatics
GM,Geo-Informatics Engineering
GR,Geo-Informatics Engineering (SS)
HM,Hotel Management
HT,Handloom and Textile Technology
IB,Industrial Bio-Technology
IC,Information and Communication Engineering
IE,Information Engineering
IG,Geo- Informatics Engineering (SS)
IM,Information Technology (SS)
IN,Industrial Engineering and Management
IS,Industrial Bio-Technology (SS)
IT,Information Technology
IY,Instrumentation and Control Engineering (SS)
IZ,Information Technology (SS)
LD,Leather Technology
LE,Leather Technology
MA,Marine Engineering
MC,Mechatronics
MD,Medical Electronics
ME,Mechanical Engineering
MF,Mechanical (Manufacturing)
MG,Mechanical and Automation Engineering (SS)
MH,Mechanical Engineering (Sandwich)
MI,Mining Engineering
MM,Manufacturing Engineering (SS)
MN,Manufacturing Engineering
MO,Mechanical and Mechatronics Engineering (Additive Manufacturing)
MR,Marine Engineering (SS)
MS,Mechanical Engineering (SS)
MT,Mechanical and Automation Engineering
MU,Mechanical and Automation Engineering
MY,Metallurgical Engineering (SS)
MZ,Mechatronics (SS)
NE,Nuclear Engineering
NM,Nanoscience and Nanotechnology
NS,Nano Science and Technology
PA,Production and Automation Engineering
PC,Petro Chemical Technology
PD,Petrochemical Engineering
PE,Petroleum Engineering
PH,Pharmaceutical Technology
PL,Polymer Technology
PM,Pharmaceutical Technology (SS)
PN,Petroleum Engineering and Technology (SS)
PP,Production Engineering
PR,Production Engineering (Sandwich) (SS)
PS,Printing and Packaging Technology
PT,Production Engineering (SS)
PY,Printing Technology (SS)
RA,Radio-Frequency and Microwave Engineering
RC,Radio-Frequency and Microwave Engineering (SS)
RM,Robotics and Automation
RP,Rubber and Plastic Technology
SA,Safety Engineering
SB,Computer Science and Engineering (Internet of Things and Cyber Security including Block Chain Technology)
SI,Software and Systems Engineering
SL,Software Engineering (SS)
SM,Software Engineering
SN,Structural Engineering (SS)
SR,Software Engineering (SS)
SS,Soil and Water Engineering (SS)
ST,Systems and Embedded Engineering
TA,Textiles and Apparel Engineering
TC,Textile Chemistry
TE,Textile Engineering (SS)
TF,Textile Technology (SS)
TM,Textiles and Apparel Engineering (SS)
TS,Textile Technology
TT,Textile Technology (SS)
TW,Textile Technology and Apparel Management (SS)
TX,Textile Technology
VC,VLSI and Embedded Systems Design
VS,VLSI Design (SS)
WL,Leather Technology (SS)
WS,Geological Engineering (SS)
XC,Civil Engineering (Tamil Medium)
XM,Geo- Informatics Engineering (SS)
CG,Computer Science and Engineering (Artificial Intelligence and Machine Learning)
CJ,Computer Science and Engineering (Integrated 5 Years)
AT,Artificial Intelligence and Data Science (Self-Supporting)
EV,Electronics Engineering (VLSI Design and Technology)
