branch_code,branch_name
AD,Artificial Intelligence and Data Science
AE,Aeronautical Engineering
AG,Agriculture Engineering
AI,Agricultural and Irrigation Engineering (SS)
AM,Computer Science and Engineering (AI and Machine Learning)
AO,Aerospace Engineering
AP,Apparel Technology (SS)
AR,Architecture
AS,Automobile Engineering (SS)
AU,Automobile Engineering
BD,Computer Science and Engineering (Big Data Analytics)
BM,Bio- Medical Engineering
BR,Architecture (SS)
BS,Bio Technology (SS)
BT,Bio Technology
BV,Biotechnology and Bioinformatics (SS)
BX,Bio- Medical Engineering (SS)
CA,Civil and Structural Engineering
CB,Computer Science and Business System
CC,Chemical and Electro Chemical Engineering (SS)
CE,Civil Engineering
CH,Chemical Engineering
CL,Chemical Engineering (SS)
CM,Computer Science and Engineering (SS)
CN,Civil Engineering (SS)
CO,Computer and Communication Engineering
CP,Civil Engg. and Planning
CR,Ceramic Technology (SS)
CS,Computer Science and Engineering
CT,Computer Technology
CW,Computer Science and Business System(SS)
CY,Cyber Security
EC,Electronics and Communication Engineering
EE,Electrical and Electronics Engineering
EI,Electronics and Instrumentation Engineering
EM,Electronics and Communication Engg. (SS)
EN,Environmental Engg.
ES,Electrical and Electronics (Sandwich) (SS)
ET,Electronics and Telecommunication Engg.
EX,Electronics and Instrumentation Engg. (SS)
EY,Elec. And Electronics Engg (SS)
FD,Food Technology
FN,Food Technology (SS)
FT,Footwear Technology
GM,Geo-Informatics Engineering
GR,Geo-Informatics Engineering (SS)
HM,Hotel Management
IC,Information and Communication Engineering
IE,Information Engineering
IG,Geo- Informatics Engineering (SS)
IT,Information Technology
IZ,Information Technology (SS)
LD,Leather Technology
MA,Marine Engineering
MC,Mechatronics
MD,Medical Electronics
ME,Mechanical Engineering
MG,Mechanical and Automation Engineering (SS)
MM,Manufacturing Engineering (SS)
MR,Marine Engineering (SS)
MS,Mechanical Engineering (SS)
MT,Mechanical and Automation Engineering
MZ,Mechatronics (SS)
NE,Nuclear Engineering
NM,Nanoscience and Nanotechnology
PA,Production and Automation Engineering
PT,Production Engineering (SS)
PY,Printing Technology (SS)
RA,Radio-Frequency and Microwave Engineering
RC,Radio-Frequency and Microwave Engineering (SS)
SA,Safety Engineering
SI,Software and Systems Engineering
SL,Software Engineering (SS)
SM,Software Engineering
SN,Structural Engineering (SS)
SR,Software Engineering (SS)
SS,Soil and Water Engineering (SS)
ST,Systems and Embedded Engineering
TA,Textiles and Apparel Engineering
TE,Textile Engineering (SS)
TF,Textile Technology (SS)
TM,Textiles and Apparel Engineering (SS)
TS,Textile Technology
TT,Textile Technology (SS)
TW,Textile Technology and Apparel Management (SS)
TX,Textile Technology
VC,VLSI and Embedded Systems Design
VS,VLSI Design (SS)
WL,Leather Technology (SS)
WS,Geological Engineering (SS)
XM,Geo- Informatics Engineering (SS)
