college_code,branch_code,allotted_category,year,opening_rank,closing_rank,seats_filled
1,BY,BC,2022,2216,4606,14
1,BY,BCM,2022,2424,3299,2
1,BY,MBC,2022,2692,5537,9
1,BY,OC,2022,11,2185,15
1,BY,SC,2022,6858,12621,8
1,BY,SCA,2022,20707,22764,2
1,BY,ST,2022,3890,3890,1
1,CE,BC,2022,3957,6219,12
1,CE,BCM,2022,7438,11998,2
1,CE,MBC,2022,4117,9441,11
1,CE,OC,2022,787,3937,17
1,CE,SC,2022,8201,16167,8
1,CE,SCA,2022,15465,28667,2
1,CM,BC,2022,143,227,28
1,CM,BCM,2022,370,709,3
1,CM,MBC,2022,280,663,20
1,CM,OC,2022,32,139,30
1,CM,SC,2022,910,3330,15
1,CM,SCA,2022,1142,8459,3
1,CM,ST,2022,2544,9198,2
1,CS,BC,2022,23,102,14
1,CS,BCM,2022,301,318,2
1,CS,MBC,2022,43,291,10
1,CS,OC,2022,1,22,15
1,CS,SC,2022,235,1013,8
1,CS,SCA,2022,413,1121,2
1,EC,BC,2022,198,326,13
1,EC,BCM,2022,418,829,2
1,EC,MBC,2022,299,773,10
1,EC,OC,2022,30,180,17
1,EC,SC,2022,784,3692,8
1,EC,SCA,2022,2790,14390,2
1,EE,BC,2022,1025,1561,14
1,EE,BCM,2022,2759,3348,2
1,EE,MBC,2022,1244,2407,10
1,EE,OC,2022,334,1012,17
1,EE,SC,2022,1381,8578,8
1,EE,SCA,2022,9691,18228,2
1,EM,BC,2022,486,585,14
1,EM,BCM,2022,2274,2299,2
1,EM,MBC,2022,690,1623,11
1,EM,OC,2022,329,476,16
1,EM,SC,2022,3216,6489,7
1,EM,ST,2022,10795,10795,1
1,GI,BC,2022,4708,8176,9
1,GI,BCM,2022,9880,9880,1
1,GI,MBC,2022,4801,8842,7
1,GI,OC,2022,2503,4669,10
1,GI,SC,2022,7477,23803,5
1,GI,SCA,2022,19509,19509,1
1,IE,BC,2022,6402,10419,9
1,IE,BCM,2022,17154,17154,1
1,IE,MBC,2022,6525,14049,7
1,IE,OC,2022,4088,6317,8
1,IE,SC,2022,15509,27211,5
1,IE,SCA,2022,15018,15018,1
1,IM,BC,2022,371,559,28
1,IM,BCM,2022,779,1182,3
