Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],869,0,45000,44864.65960978133,1130.2634000021499,82665.62999999587,173.8849252013809,2.8171688498714897,0.0,45000,59000,67000,69000,77000,80000,83000,83000,83000,83000,83000
GET,/auth/me,3557,0,7400,10812.307975203741,1782.9517999998643,81189.83650000155,330.7244869271858,11.531265361326685,0.0,7400,8700,9600,10000,12000,43000,65000,77000,81000,81000,81000
POST,/auth/update-profile,1464,0,8400,11630.875545218563,1926.4559000002919,81872.38290000096,72.0,4.746070421417562,0.0,8400,9700,10000,11000,13000,42000,67000,77000,82000,82000,82000
GET,/config,257,0,4100,6917.985573151721,620.7020000001648,73344.70539999893,28.0,0.833155804852673,0.0,4100,5200,5900,6900,10000,16000,62000,71000,73000,73000,73000
POST,/payment/create-order,1760,0,11000,13612.375297500035,3553.6789999969187,83919.04849999992,173.68352272727273,5.705658430119473,0.0,11000,12000,13000,13000,15000,45000,71000,79000,84000,84000,84000
POST,/predict/colleges [auth],1717,1629,11000,14165.45785818292,3053.156599999056,85380.03029999527,164.2632498543972,5.566258820747236,5.2809758992412625,11000,13000,14000,15000,18000,36000,70000,79000,83000,85000,85000
POST,/predict/colleges [guest],1208,1061,12000,17083.699476986814,3028.152599996247,89124.75689999701,329.87168874172187,3.916156467945638,3.439604314975432,12000,14000,15000,16000,34000,66000,80000,81000,89000,89000,89000
POST,/predict/colleges [premium],3534,3302,12000,14943.635176457277,3024.4686999940313,83509.14919999923,81.69496321448783,11.456702779569442,10.70459325923551,12000,13000,14000,15000,19000,48000,73000,79000,83000,84000,84000
GET,/predict/colleges-list,218,0,4400,9226.067817431081,452.07429999572923,74415.22650000115,102062.0,0.7067236010034347,0.0,4400,5700,6800,8100,17000,69000,73000,74000,74000,74000,74000
POST,/predict/rank [auth],274,50,4900,6657.51651386864,583.512699995481,72335.49979999952,109.2043795620438,0.888267278325418,0.16209256903748503,5000,6300,7400,7800,9600,15000,46000,62000,72000,72000,72000
POST,/predict/rank [guest],501,84,4900,7490.555387824357,592.3890999983996,74563.43580000248,110.27544910179641,1.6241675417555999,0.2723155159829748,4900,6200,7500,8300,13000,17000,52000,72000,75000,75000,75000
,Aggregated,15359,6126,9800,14686.391735490595,452.07429999572923,89124.75689999701,1630.94609024025,49.79159535693465,19.859581558472666,9800,12000,13000,14000,31000,60000,76000,80000,83000,89000,89000
