Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],869,0,1200,1361.6963714614003,654.6946999987995,7645.67739999984,166.67088607594937,2.9076057531085953,0.0,1200,1400,1700,1800,2100,2400,3300,6100,7600,7600,7600
GET,/auth/me,13854,0,330,374.2034166738863,279.0085000015097,2611.357100002351,356.26562725566623,46.35439597648617,0.0,330,350,360,390,500,670,820,1100,1600,2300,2600
POST,/auth/update-profile,5899,0,360,421.4294258348678,302.8515000005427,2800.2820999972755,72.0,19.737590722195172,0.0,360,380,400,430,640,870,1000,1300,2000,2800,2800
GET,/config,809,0,310,340.38977688505963,268.83879999877536,1723.9870999983395,28.0,2.7068504652069665,0.0,310,330,340,350,420,500,650,840,1700,1700,1700
POST,/payment/create-order,6487,0,340,403.0268409434242,283.63309999986086,5335.4529999996885,173.284260829351,21.70499254363114,0.0,340,350,370,400,520,810,1300,1600,2600,5300,5300
POST,/predict/colleges [auth],8151,7541,320,354.8135037050748,269.16500000152155,5287.538999997196,220.26867868973133,27.27260586143632,25.231593767769755,320,330,340,360,450,540,840,1200,2100,5300,5300
POST,/predict/colleges [guest],3950,3650,320,372.26749235444646,270.04200000010314,2462.763099996664,224.13493670886075,13.216389786857253,12.212613347349107,320,330,350,380,500,690,1100,1400,2400,2500,2500
POST,/predict/colleges [premium],12749,11739,320,350.06392264490364,268.9554999997199,5317.096700000548,90.76978586555808,42.65715275763117,39.27777207795374,320,330,340,360,440,530,760,1100,1900,2500,5300
GET,/predict/colleges-list,745,0,320,375.76195932887106,291.75819999727537,2413.9121000007435,102062.0,2.4927114914452284,0.0,320,330,360,390,480,620,960,1000,2400,2400,2400
POST,/predict/rank [auth],1362,293,310,336.98539221728197,267.75180000186083,1280.0317000001087,106.79515418502203,4.557145035366982,0.9803549892529556,310,330,340,350,420,500,680,790,1200,1300,1300
POST,/predict/rank [guest],1575,336,320,339.96568038086104,268.38080000015907,1968.8642999972217,106.98095238095237,5.269826307417765,1.124229612249123,320,330,340,350,430,510,640,770,1900,2000,2000
,Aggregated,56450,23559,330,386.94809627811566,267.75180000186083,7645.67739999984,1538.3547032772365,188.87726670078274,78.82656379457468,330,350,370,390,500,740,1100,1500,2400,6500,7600
