Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782920078,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782920079,10,,Aggregated,0.000000,0.000000,760,770,770,770,780,780,780,780,780,780,780,10,0,760,757.5700500019593,722.4218000046676,776.6252000001259,166.0
1782920080,20,,Aggregated,0.000000,0.000000,760,760,760,760,770,770,780,780,780,780,780,31,0,760,602.3797290333953,284.4189000024926,776.6252000001259,150.58064516129033
1782920081,30,,Aggregated,0.000000,0.000000,750,760,770,780,900,1000,1000,1000,1000,1000,1000,56,0,750,613.4732892868279,284.4189000024926,1001.8391999910818,392.01785714285717
1782920082,30,,Aggregated,10.000000,0.000000,460,760,760,770,980,1000,1400,1900,1900,1900,1900,77,3,460,586.6766259752293,280.0457999983337,1896.8541999929585,313.06493506493507
1782920083,30,,Aggregated,14.000000,0.000000,410,720,760,770,870,1000,1400,1900,1900,1900,1900,95,8,410,552.6179021062011,278.9238999976078,1896.8541999929585,268.57894736842104
1782920084,30,,Aggregated,17.250000,0.500000,390,720,760,770,980,1400,1900,1900,1900,1900,1900,110,10,380,573.9763490921839,278.9238999976078,1948.190600000089,451.8545454545455
1782920085,30,,Aggregated,16.000000,0.800000,380,600,760,770,880,1000,1900,1900,1900,1900,1900,129,17,380,547.9263271328762,274.6539999934612,1948.190600000089,500.06976744186045
1782920086,30,,Aggregated,17.166667,1.500000,360,460,760,760,870,1000,1800,1900,1900,1900,1900,155,31,360,517.4740019363292,271.99629999813624,1948.190600000089,514.5419354838709
1782920087,30,,Aggregated,16.857143,2.000000,350,420,750,760,850,1000,1800,1900,1900,1900,1900,171,38,350,498.34283041008354,271.99629999813624,1948.190600000089,470.5029239766082
1782920088,30,,Aggregated,17.250000,2.625000,350,420,750,760,850,1000,1800,1900,1900,1900,1900,187,45,350,503.4900759363903,271.99629999813624,1948.190600000089,558.5454545454545
