Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],435,435,300128.0435000008,300199.78577816096,300128.0435000008,300455.4189999981,14.0,0.12085815167344022,0.12085815167344022,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
GET,/auth/me,77570,77570,280,402.3800869421126,264.5713000019896,79999.19470000168,30.0,21.551647874273005,21.551647874273005,280,290,290,290,340,390,440,490,66000,79000,80000
POST,/auth/update-profile,33195,33195,280,374.9076202590614,265.64150000194786,79953.72910000151,30.0,9.222727229424938,9.222727229424938,280,290,290,290,340,390,450,490,59000,79000,80000
GET,/config,4402,0,280,614.1556746706171,265.0149000037345,252625.19220000104,28.0,1.2230289279689284,0.0,280,280,290,290,330,380,430,480,120000,253000,253000
POST,/payment/create-order,36152,36152,280,417.80524563509056,265.5326999956742,79993.37879999803,27.0,10.044284825972898,10.044284825972898,280,290,290,290,340,390,440,490,65000,79000,80000
POST,/predict/colleges [auth],46551,46551,280,387.253956297382,265.4072000004817,80168.30479999771,45.0,12.933489238046702,12.933489238046702,280,290,290,300,340,390,450,500,60000,78000,80000
POST,/predict/colleges [guest],21861,21861,280,985.849315447586,266.2800999969477,300455.5398999946,44.94611408444261,6.073747249961095,6.073747249961095,280,290,290,300,340,390,460,510,300000,300000,300000
POST,/predict/colleges [premium],72286,72286,280,432.62076267604175,264.8912000004202,80178.34530000255,45.0,20.08356862498,20.08356862498,280,290,290,300,340,390,460,510,69000,79000,80000
GET,/predict/colleges-list,4401,0,310,715.2796142922328,283.81890000309795,253763.95140000386,102062.0,1.2227510931374952,0.0,310,310,320,320,380,440,510,600,115000,254000,254000
POST,/predict/rank [auth],7732,7721,280,364.8398350103435,266.95670000481186,76545.64029999892,45.11096740817382,2.1482189166414707,2.1451627334957055,280,290,290,290,340,390,450,500,59000,77000,77000
POST,/predict/rank [guest],8873,8851,280,904.7949623689677,266.33160000346834,300457.02249999886,45.14087681731095,2.4652284593067475,2.459116093015217,280,290,290,290,340,390,440,500,300000,300000,300000
,Aggregated,313458,304622,280,883.3746954153177,264.5713000019896,300457.02249999886,1469.6795966285754,87.08955059138673,84.634602020843,280,290,290,300,340,390,460,520,300000,300000,300000
