Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],435,0,1600,2813.815972873397,867.8327999987232,9884.989999998652,166.74022988505746,0.12108932285677981,0.0,1600,1800,2400,5500,8100,8600,8900,9500,9900,9900,9900
GET,/auth/me,84355,0,310,368.4534261146384,277.9508000021451,10235.2819000007,356.29387706715664,23.481585815134853,0.0,310,340,350,360,450,670,790,1300,3200,5600,10000
POST,/auth/update-profile,36485,0,340,419.7264620693424,300.1204999964102,6333.297400000447,72.0,10.156192975700257,0.0,340,370,380,400,680,930,1000,1400,3200,5200,6300
GET,/config,4767,0,290,339.5300115586843,265.7838000013726,6253.369799997017,28.0,1.3269719587546422,0.0,290,320,330,330,380,470,780,1300,3300,6300,6300
POST,/payment/create-order,39819,0,310,391.8550349707368,281.7721999963396,12066.266400004679,173.2884301464125,11.084266084676127,0.0,310,340,350,360,480,800,1200,1600,3500,6000,12000
POST,/predict/colleges [auth],50495,49897,290,337.444232797315,265.85359999444336,6807.508799996867,72.72628973165659,14.05610427046689,13.889641247321247,290,320,330,330,380,460,710,1200,3200,5200,6800
POST,/predict/colleges [guest],24001,23714,290,346.85998792549685,266.8935000037891,8604.317900000751,73.28215491021207,6.681068592840396,6.601177476380866,290,320,330,330,390,480,850,1400,3600,7600,8600
POST,/predict/colleges [premium],79055,78020,290,340.7192246980064,267.0289000016055,10300.808599997254,52.5697046360129,22.006244640098227,21.718135561576922,290,320,330,330,380,470,740,1300,3200,5800,10000
GET,/predict/colleges-list,4946,0,310,355.0841652244593,289.0611000038916,7546.930100001191,102062.0,1.3767995191945586,0.0,310,320,330,340,400,490,780,1300,3300,7500,7500
POST,/predict/rank [auth],8452,6978,290,337.0478612754416,268.27849999972386,8405.581600003643,58.72219592995741,2.35275162479426,1.9424397583784128,290,320,330,330,380,450,670,1200,4100,8400,8400
POST,/predict/rank [guest],9694,7968,290,338.0178781308572,266.33399999991525,6879.671499998949,58.97286981638127,2.6984825190198243,2.218022355224877,290,320,330,330,380,460,750,1200,3400,6900,6900
,Aggregated,342504,166577,310,365.02331478874197,265.7838000013726,12066.266400004679,1621.1255401396772,95.34155732353682,46.36941639888233,310,330,340,350,420,650,950,1400,3500,8500,12000
