Method,Name,Error,Occurrences,First Seen,Last Seen
POST,/auth/update-profile,"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fb847e79d0>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:48Z,2026-06-30T14:19:48Z
POST,/predict/colleges [premium],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fb8c83e990>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:40Z,2026-06-30T14:19:40Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fbf3b54f50>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:05Z,2026-06-30T14:19:05Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fb92728190>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:27Z,2026-06-30T14:19:27Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fbe899d810>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:04Z,2026-06-30T14:19:04Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fb98d84f50>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:28Z,2026-06-30T14:19:28Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fb8f8a3750>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:21Z,2026-06-30T14:19:21Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fbec3cd950>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:04Z,2026-06-30T14:19:04Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fb90e8de50>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:26Z,2026-06-30T14:19:26Z
POST,/auth/login [setup],"ConnectTimeoutError(<HTTPSConnection(host='tneapredictor-production.up.railway.app', port=443) at 0x1fb94c6c050>, 'Connection to tneapredictor-production.up.railway.app timed out. (connect timeout=None)')",1,2026-06-30T14:19:27Z,2026-06-30T14:19:27Z
