Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login [setup],8629,2493,38000,35989.25912272572,1584.3535000021802,122503.964800002,118.50052149727662,69.00772486170965,19.9369866821465,38000,48000,50000,50000,54000,58000,60000,62000,111000,123000,123000
GET,/auth/me,11564,458,5400,8691.529950994453,447.8205000050366,67024.12500000355,342.3478035281909,92.47946810763824,3.6627115525162846,5400,8200,11000,13000,22000,27000,32000,37000,52000,54000,67000
POST,/auth/update-profile,4219,167,5400,8594.445723654922,393.15070000156993,67068.94050000119,69.54823417871533,33.74013109184761,1.335530194913143,5400,7600,10000,12000,22000,27000,33000,37000,52000,67000,67000
GET,/config,1098,2,5400,6465.194874863461,532.9412999999477,51183.99280000449,27.948998178506375,8.78091110188402,0.01599437359177417,5400,6500,7600,8700,13000,16000,20000,23000,39000,51000,51000
POST,/payment/create-order,6881,328,5500,9019.007396468567,376.5977000002749,52215.241799996875,165.4237756140096,55.028642342499026,2.6230772690509636,5500,8800,11000,14000,23000,28000,36000,37000,51000,52000,52000
POST,/predict/colleges [auth],2215,2215,5600,7523.403613860103,372.8138000005856,67073.66629999888,43.252821670428894,17.71376875288989,17.71376875288989,5600,6900,7700,8400,16000,24000,27000,37000,67000,67000,67000
POST,/predict/colleges [guest],5809,5809,6100,10589.458126803189,438.71909999870695,65584.30049999879,44.84506799793424,46.455658097308074,46.455658097308074,6100,8300,11000,19000,29000,37000,41000,43000,62000,66000,66000
POST,/predict/colleges [premium],13879,13879,5400,10208.061774356978,358.3624000020791,60779.16399999958,43.832768931479215,110.99295554011684,110.99295554011684,5400,8900,12000,17000,29000,36000,39000,42000,52000,61000,61000
GET,/predict/colleges-list,1137,6,5700,7084.529023658656,524.2013000024599,36643.822199999704,101523.4142480211,9.092801386923615,0.047983120775322505,5700,7400,9100,10000,14000,18000,20000,26000,34000,37000,37000
POST,/predict/rank [auth],375,375,5600,6875.290663466669,358.6524999991525,67025.003499999,43.68,2.9989450484576565,2.9989450484576565,5600,6800,7300,8000,13000,18000,24000,27000,67000,67000,67000
POST,/predict/rank [guest],2309,2309,5900,8467.168406409663,471.24559999792837,59243.82340000011,44.94153313122564,18.465504311703278,18.465504311703278,5900,7500,10000,13000,21000,24000,30000,32000,49000,59000,59000
,Aggregated,58115,28041,6500,13189.69174357401,358.3624000020791,122503.964800002,2115.818308526198,464.7565106429779,224.24911494346975,6500,11000,19000,24000,36000,49000,52000,57000,65000,120000,123000
