Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1782824244,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782824245,5000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782824246,5000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782824247,5000,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1782824248,5000,,Aggregated,0.000000,0.000000,3500,3600,3700,3800,4100,4200,4200,4200,4200,4200,4200,285,132,3500,3099.344537894728,504.2796999987331,4221.321999997599,7611.659649122807
1782824250,5000,,Aggregated,7.250000,1.750000,3800,4400,4900,5000,5100,5100,5100,5100,5200,5200,5200,808,423,3800,3491.615211881182,504.2796999987331,5193.1968000026245,7287.417079207921
1782824251,5000,,Aggregated,60.600000,29.200000,4200,5000,5100,5100,5200,5600,6100,6100,6200,6200,6200,956,475,4200,3742.020617991631,380.5904000000737,6219.23120000065,7029.629707112971
1782824252,5000,,Aggregated,129.666667,66.500000,4400,5100,5100,5300,6600,6800,7000,7100,7400,7500,7500,1169,514,4400,4047.015789563705,380.5904000000737,7467.526699998416,6122.896492728828
1782824253,5000,,Aggregated,132.142857,67.571429,4500,5100,5900,6600,7700,7900,8200,8300,8500,8600,8600,1419,558,4500,4317.658318745579,380.5904000000737,8617.762000001676,6146.996476391825
1782824254,5000,,Aggregated,141.250000,64.000000,4500,5100,6500,6800,8100,8800,9100,9400,9600,9600,9600,1701,624,4500,4494.372374897117,380.5904000000737,9569.23999999708,5691.917107583774
1782824255,5000,,Aggregated,142.555556,58.777778,4500,5200,6700,7600,8800,9500,10000,10000,11000,11000,11000,1885,670,4500,4658.805397612731,380.5904000000737,10602.403000000777,5204.484880636604
1782824257,5000,,Aggregated,172.200000,62.400000,4500,5300,6800,7800,9100,10000,11000,12000,12000,12000,12000,2060,711,4500,4875.624071504851,380.5904000000737,11803.800699999556,5071.042718446602
1782824258,5000,,Aggregated,190.000000,67.500000,4700,6100,7700,8400,11000,12000,13000,13000,13000,13000,13000,2392,765,4700,5313.885108570211,380.5904000000737,13007.288199998584,5071.85660535117
1782824259,5000,,Aggregated,203.900000,70.600000,4700,6100,7900,9000,12000,13000,14000,14000,14000,14000,14000,2938,944,4600,5683.65239298843,380.5904000000737,13953.65259999744,5090.57045609258
1782824260,5000,,Aggregated,230.500000,74.800000,4700,6400,8100,9500,13000,14000,14000,15000,15000,15000,15000,3296,1069,4700,5905.990306705092,380.5904000000737,14946.924300002138,4985.418689320389
1782824261,5000,,Aggregated,242.200000,75.500000,4800,6600,8800,10000,14000,15000,15000,16000,16000,16000,16000,3544,1115,4800,6206.0942509029255,380.5904000000737,16117.917200001102,4763.156038374718
1782824262,5000,,Aggregated,237.000000,62.700000,4900,6700,9100,11000,14000,15000,16000,17000,17000,17000,17000,3806,1180,4900,6470.661208039933,380.5904000000737,17227.772999998706,4525.892538097741
1782824263,5000,,Aggregated,248.400000,61.600000,5000,6700,9600,12000,15000,16000,17000,18000,18000,18000,18000,4068,1223,5000,6741.926892428711,380.5904000000737,18313.28229999781,4420.187069813176
1782824264,5000,,Aggregated,249.600000,62.900000,5000,7000,10000,12000,15000,17000,18000,19000,19000,19000,19000,4235,1249,5000,6969.548061582056,380.5904000000737,19338.336500000878,4276.546162927981
1782824265,5000,,Aggregated,259.600000,66.400000,5100,7700,11000,13000,16000,18000,19000,20000,20000,21000,21000,4573,1344,5100,7376.190170019681,380.5904000000737,20535.513200000423,4127.14520008747
1782824267,5000,,Aggregated,259.200000,66.100000,5300,8100,12000,13000,17000,19000,20000,21000,21000,21000,21000,4897,1435,5300,7695.892400673892,380.5904000000737,21474.816399997508,4009.370839289361
1782824268,5000,,Aggregated,268.300000,67.100000,5700,8600,12000,14000,18000,20000,21000,22000,22000,23000,23000,5112,1463,5700,7997.71063196401,380.5904000000737,22534.40330000012,3888.0131064162756
1782824269,5000,,Aggregated,284.900000,72.300000,6100,8900,12000,14000,19000,21000,22000,23000,23000,23000,23000,5402,1547,6100,8304.970825860795,380.5904000000737,23198.97739999942,3819.069418733802
1782824270,5000,,Aggregated,272.300000,70.600000,6300,9000,13000,14000,19000,22000,23000,24000,24000,24000,24000,5699,1612,6300,8629.414781189687,380.5904000000737,24204.294999999547,3753.4018248815582
1782824271,5000,,Aggregated,262.600000,63.500000,6600,9200,13000,15000,20000,23000,24000,25000,25000,25000,25000,5990,1673,6600,8934.494575025037,380.5904000000737,25307.669000001624,3663.6449081803007
1782824272,5000,,Aggregated,247.800000,57.600000,6800,9400,13000,16000,21000,24000,25000,26000,26000,26000,26000,6241,1728,6800,9258.454220269177,380.5904000000737,26387.89750000069,3636.9743630828393
1782824273,5000,,Aggregated,250.400000,56.900000,7100,9700,14000,16000,22000,24000,26000,27000,27000,27000,27000,6461,1752,7100,9551.375289212188,380.5904000000737,27260.10529999985,3550.860702677604
1782824274,5000,,Aggregated,249.100000,55.300000,7500,10000,14000,17000,23000,25000,27000,28000,28000,28000,28000,6688,1780,7500,9878.718734180607,380.5904000000737,28249.793999999383,3451.666566985646
1782824275,5000,,Aggregated,249.800000,55.400000,7800,11000,14000,17000,23000,26000,28000,29000,29000,29000,29000,6893,1817,7800,10177.410588219926,380.5904000000737,29178.305000001274,3412.8801682866674
